timestamp,domain,subdomain,parameter_set,metrics,sacred_score,phi_alignment,consciousness_signature,qcd_confinement,dna_correlation,fractal_dimension,ancient_resonance,notes,circuit_depth,qubit_count,wormhole_entanglement,wormhole_traversability,wormhole_energy_gap,wormhole_lr_coupling,wormhole_phi_coupling,wormhole_consciousness,phi_string_health,phi_string_tension,phi_string_coherent,phi_string_status
2025-12-31T22:09:26.108461,consciousness,machine_architecture,"{'qubits': 8, 'coupling_strength': 0.382, 'delay_pattern': 'fibonacci', 'temperature': 1.216, 'phi_alignment': 0.382}","{'phi_iit_measured': np.float64(0.17604203002653349), 'phi_iit_std': np.float64(0.08747077357527784), 'fidelity': np.float64(0.9384461800536519), 'entanglement': np.float64(0.31676115661499066), 'max_phi_bound': np.float64(5.553935309044939), 'coupling_ratio': 0.6180889837024599, 'shots': 1024}",0.15,0.3819110162975401,0.17604203002653349,0.382,,,,IIT consciousness with fibonacci temporal pattern,,8,,,,,,,,,,
2025-12-31T22:09:26.109520,consciousness,machine_architecture,"{'qubits': 8, 'coupling_strength': 0.382, 'delay_pattern': 'lucas', 'temperature': 1.216, 'phi_alignment': 0.382}","{'phi_iit_measured': np.float64(0.17493362270862023), 'phi_iit_std': np.float64(0.08922082187288029), 'fidelity': np.float64(0.9377399502813165), 'entanglement': np.float64(0.31832499792523594), 'max_phi_bound': np.float64(5.553935309044939), 'coupling_ratio': 0.6180889837024599, 'shots': 1024}",0.15,0.3819110162975401,0.17493362270862023,0.382,,,,IIT consciousness with lucas temporal pattern,,8,,,,,,,,,,
2025-12-31T22:09:26.110353,consciousness,machine_architecture,"{'qubits': 8, 'coupling_strength': 0.618, 'delay_pattern': 'fibonacci', 'temperature': 1.216, 'phi_alignment': 0.618}","{'phi_iit_measured': np.float64(0.21202514392118962), 'phi_iit_std': np.float64(0.09256431689269375), 'fidelity': np.float64(0.9376744456158892), 'entanglement': np.float64(0.46368598759994506), 'max_phi_bound': np.float64(5.553935309044939), 'coupling_ratio': 0.9999450050474351, 'shots': 1024}",0.55,5.499495256490213e-05,0.21202514392118962,0.618,,,,IIT consciousness with fibonacci temporal pattern,,8,,,,,,,,,,
2025-12-31T22:09:26.111297,consciousness,machine_architecture,"{'qubits': 8, 'coupling_strength': 0.618, 'delay_pattern': 'lucas', 'temperature': 1.216, 'phi_alignment': 0.618}","{'phi_iit_measured': np.float64(0.21716312780319486), 'phi_iit_std': np.float64(0.08959392084291462), 'fidelity': np.float64(0.9358328006309306), 'entanglement': np.float64(0.4593507629199508), 'max_phi_bound': np.float64(5.553935309044939), 'coupling_ratio': 0.9999450050474351, 'shots': 1024}",0.55,5.499495256490213e-05,0.21716312780319486,0.618,,,,IIT consciousness with lucas temporal pattern,,8,,,,,,,,,,
2025-12-31T22:09:26.112394,consciousness,machine_architecture,"{'qubits': 13, 'coupling_strength': 0.382, 'delay_pattern': 'fibonacci', 'temperature': 1.216, 'phi_alignment': 0.382}","{'phi_iit_measured': np.float64(0.27962330562862975), 'phi_iit_std': np.float64(0.08862425895856145), 'fidelity': np.float64(0.8431085182100659), 'entanglement': np.float64(0.31977550982800906), 'max_phi_bound': np.float64(9.025144877198025), 'coupling_ratio': 0.6180889837024599, 'shots': 1024}",0.15,0.3819110162975401,0.27962330562862975,0.382,,,,IIT consciousness with fibonacci temporal pattern,,13,,,,,,,,,,
2025-12-31T22:09:26.113248,consciousness,machine_architecture,"{'qubits': 13, 'coupling_strength': 0.382, 'delay_pattern': 'lucas', 'temperature': 1.216, 'phi_alignment': 0.382}","{'phi_iit_measured': np.float64(0.2830250787825286), 'phi_iit_std': np.float64(0.08903872218725989), 'fidelity': np.float64(0.8426757760884279), 'entanglement': np.float64(0.31654107033947304), 'max_phi_bound': np.float64(9.025144877198025), 'coupling_ratio': 0.6180889837024599, 'shots': 1024}",0.15,0.3819110162975401,0.2830250787825286,0.382,,,,IIT consciousness with lucas temporal pattern,,13,,,,,,,,,,
2025-12-31T22:09:26.113799,consciousness,machine_architecture,"{'qubits': 13, 'coupling_strength': 0.618, 'delay_pattern': 'fibonacci', 'temperature': 1.216, 'phi_alignment': 0.618}","{'phi_iit_measured': np.float64(0.3467910328093435), 'phi_iit_std': np.float64(0.09422537416593542), 'fidelity': np.float64(0.8446860159671371), 'entanglement': np.float64(0.4593035739162616), 'max_phi_bound': np.float64(9.025144877198025), 'coupling_ratio': 0.9999450050474351, 'shots': 1024}",0.55,5.499495256490213e-05,0.3467910328093435,0.618,,,,IIT consciousness with fibonacci temporal pattern,,13,,,,,,,,,,
2025-12-31T22:09:26.114404,consciousness,machine_architecture,"{'qubits': 13, 'coupling_strength': 0.618, 'delay_pattern': 'lucas', 'temperature': 1.216, 'phi_alignment': 0.618}","{'phi_iit_measured': np.float64(0.3440665536844517), 'phi_iit_std': np.float64(0.08710972429162067), 'fidelity': np.float64(0.8449938950831186), 'entanglement': np.float64(0.4627277586767065), 'max_phi_bound': np.float64(9.025144877198025), 'coupling_ratio': 0.9999450050474351, 'shots': 1024}",0.55,5.499495256490213e-05,0.3440665536844517,0.618,,,,IIT consciousness with lucas temporal pattern,,13,,,,,,,,,,
2025-12-31T22:09:26.114943,consciousness,machine_architecture,"{'qubits': 21, 'coupling_strength': 0.382, 'delay_pattern': 'fibonacci', 'temperature': 1.216, 'phi_alignment': 0.382}","{'phi_iit_measured': np.float64(0.4581366351369486), 'phi_iit_std': np.float64(0.09130685686855369), 'fidelity': np.float64(0.6421037903393547), 'entanglement': np.float64(0.3177540276935273), 'max_phi_bound': np.float64(14.579080186242964), 'coupling_ratio': 0.6180889837024599, 'shots': 1024}",0.15,0.3819110162975401,0.4581366351369486,0.382,,,,IIT consciousness with fibonacci temporal pattern,,21,,,,,,,,,,
2025-12-31T22:09:26.115429,consciousness,machine_architecture,"{'qubits': 21, 'coupling_strength': 0.382, 'delay_pattern': 'lucas', 'temperature': 1.216, 'phi_alignment': 0.382}","{'phi_iit_measured': np.float64(0.4592458009024471), 'phi_iit_std': np.float64(0.09165494530161675), 'fidelity': np.float64(0.6446018999585899), 'entanglement': np.float64(0.31538004993750185), 'max_phi_bound': np.float64(14.579080186242964), 'coupling_ratio': 0.6180889837024599, 'shots': 1024}",0.15,0.3819110162975401,0.4592458009024471,0.382,,,,IIT consciousness with lucas temporal pattern,,21,,,,,,,,,,
2025-12-31T22:09:26.115874,consciousness,machine_architecture,"{'qubits': 21, 'coupling_strength': 0.618, 'delay_pattern': 'fibonacci', 'temperature': 1.216, 'phi_alignment': 0.618}","{'phi_iit_measured': np.float64(0.5607943215172388), 'phi_iit_std': np.float64(0.09383847722334651), 'fidelity': np.float64(0.6434041953509891), 'entanglement': np.float64(0.46238546785811313), 'max_phi_bound': np.float64(14.579080186242964), 'coupling_ratio': 0.9999450050474351, 'shots': 1024}",0.55,5.499495256490213e-05,0.5607943215172388,0.618,,,,IIT consciousness with fibonacci temporal pattern,,21,,,,,,,,,,
