run_id,promoter_id,sephirot_label,backend,backend_role,replicate_index,shots,cohort_logic_label,predicted_phi,transpiled_depth,qubit_layout,measured_phi,calibrated_phi,residual,job_id,submitted_at
SRY_ibm_fez_r01,SRY,Yesod,ibm_fez,reference_backend,1,8192,high_entropy,0.698,16,97;4;3;2;1;16;23;88;5;6;42;90;30;22;21;52;18;36;96;50;126;8;9;58;48;112;54;148;38;152;106;144;130;92;74;75;84;64;137;132;110;10;134;136;154;14;98;46;70;120;124;142;79;95;59;114;115;143;138;80;44;150,0.6173137751818651,0.6173137751818651,-0.08068622481813481,d78o4e1q1efs73d1vsh0,2026-04-04T22:27:19.773320
SRY_ibm_fez_r02,SRY,Yesod,ibm_fez,reference_backend,2,8192,high_entropy,0.698,16,97;4;3;2;1;16;23;88;5;6;42;90;30;22;21;52;18;36;96;50;126;8;9;58;48;112;54;148;38;152;106;144;130;92;74;75;84;64;137;132;110;10;134;136;154;14;98;46;70;120;124;142;79;95;59;114;115;143;138;80;44;150,0.6173512956446123,0.6173512956446123,-0.08064870435538762,d78o4eak86tc739vgmvg,2026-04-04T22:27:21.031598
SRY_ibm_fez_r03,SRY,Yesod,ibm_fez,reference_backend,3,8192,high_entropy,0.698,16,97;4;3;2;1;16;23;88;5;6;42;90;30;22;21;52;18;36;96;50;126;8;9;58;48;112;54;148;38;152;106;144;130;92;74;75;84;64;137;132;110;10;134;136;154;14;98;46;70;120;124;142;79;95;59;114;115;143;138;80;44;150,0.6170207501741933,0.6170207501741933,-0.08097924982580662,d78o4ehq1efs73d1vsig,2026-04-04T22:27:22.154309
SRY_ibm_kingston_r01,SRY,Yesod,ibm_kingston,comparison_backend,1,8192,high_entropy,0.698,16,71;4;3;2;1;16;23;46;5;6;68;137;77;22;21;126;67;138;37;10;53;105;117;60;133;151;106;86;20;9;38;132;44;93;129;128;144;90;134;17;15;139;42;142;97;64;59;28;48;8;88;140;29;154;121;148;149;136;61;108;118;57,0.6149855869956934,0.6149855869956934,-0.08301441300430656,d78o4f8eecps73d7dkeg,2026-04-04T22:27:24.567369
SRY_ibm_kingston_r02,SRY,Yesod,ibm_kingston,comparison_backend,2,8192,high_entropy,0.698,16,71;4;3;2;1;16;23;46;5;6;68;137;77;22;21;126;67;138;37;10;53;105;117;60;133;151;106;86;20;9;38;132;44;93;129;128;144;90;134;17;15;139;42;142;97;64;59;28;48;8;88;140;29;154;121;148;149;136;61;108;118;57,0.6142981196386417,0.6142981196386417,-0.08370188036135828,d78o4fik86tc739vgn10,2026-04-04T22:27:25.480953
SRY_ibm_kingston_r03,SRY,Yesod,ibm_kingston,comparison_backend,3,8192,high_entropy,0.698,16,71;4;3;2;1;16;23;46;5;6;68;137;77;22;21;126;67;138;37;10;53;105;117;60;133;151;106;86;20;9;38;132;44;93;129;128;144;90;134;17;15;139;42;142;97;64;59;28;48;8;88;140;29;154;121;148;149;136;61;108;118;57,0.6156122473145117,0.6156122473145117,-0.08238775268548826,d78o4fpq1efs73d1vskg,2026-04-04T22:27:26.390104
FOXG1_ibm_fez_r01,FOXG1,Kether,ibm_fez,reference_backend,1,8192,top_phi_aligned,0.742,16,97;4;3;2;1;16;23;88;5;6;42;90;30;22;21;52;18;36;96;126;50;8;9;58;48;112;54;148;38;152;106;144;130;92;74;75;84;64;137;132;110;10;134;136;154;14;98;46;70;120;124;142;79;95;59;114;115;143;138;80;44;150,0.6151266079650309,0.6151266079650309,-0.12687339203496906,d78o4g0eecps73d7dkh0,2026-04-04T22:27:27.420916
FOXG1_ibm_fez_r02,FOXG1,Kether,ibm_fez,reference_backend,2,8192,top_phi_aligned,0.742,16,97;4;3;2;1;16;23;88;5;6;42;90;30;22;21;52;18;36;96;126;50;8;9;58;48;112;54;148;38;152;106;144;130;92;74;75;84;64;137;132;110;10;134;136;154;14;98;46;70;120;124;142;79;95;59;114;115;143;138;80;44;150,0.6156544516683644,0.6156544516683644,-0.12634554833163558,d78o4g9q1efs73d1vslg,2026-04-04T22:27:28.496281
FOXG1_ibm_fez_r03,FOXG1,Kether,ibm_fez,reference_backend,3,8192,top_phi_aligned,0.742,16,97;4;3;2;1;16;23;88;5;6;42;90;30;22;21;52;18;36;96;126;50;8;9;58;48;112;54;148;38;152;106;144;130;92;74;75;84;64;137;132;110;10;134;136;154;14;98;46;70;120;124;142;79;95;59;114;115;143;138;80;44;150,0.6162155411512674,0.6162155411512674,-0.12578445884873257,d78o4ggeecps73d7dki0,2026-04-04T22:27:29.566060
FOXG1_ibm_kingston_r01,FOXG1,Kether,ibm_kingston,comparison_backend,1,8192,top_phi_aligned,0.742,16,71;4;3;2;1;16;23;46;5;6;68;137;77;22;21;126;67;138;37;53;10;105;117;60;133;151;106;86;20;9;38;132;44;93;129;128;144;90;134;17;15;139;42;142;97;64;59;28;48;8;88;140;29;154;121;148;149;136;61;108;118;57,0.6139740375757878,0.6139740375757878,-0.12802596242421216,d78o4gpq1efs73d1vsn0,2026-04-04T22:27:30.483025
FOXG1_ibm_kingston_r02,FOXG1,Kether,ibm_kingston,comparison_backend,2,8192,top_phi_aligned,0.742,16,71;4;3;2;1;16;23;46;5;6;68;137;77;22;21;126;67;138;37;53;10;105;117;60;133;151;106;86;20;9;38;132;44;93;129;128;144;90;134;17;15;139;42;142;97;64;59;28;48;8;88;140;29;154;121;148;149;136;61;108;118;57,0.6131781942013217,0.6131781942013217,-0.1288218057986783,d78o4h0eecps73d7dkig,2026-04-04T22:27:31.392005
FOXG1_ibm_kingston_r03,FOXG1,Kether,ibm_kingston,comparison_backend,3,8192,top_phi_aligned,0.742,16,71;4;3;2;1;16;23;46;5;6;68;137;77;22;21;126;67;138;37;53;10;105;117;60;133;151;106;86;20;9;38;132;44;93;129;128;144;90;134;17;15;139;42;142;97;64;59;28;48;8;88;140;29;154;121;148;149;136;61;108;118;57,0.6123425608423776,0.6123425608423776,-0.1296574391576224,d78o4hak86tc739vgn30,2026-04-04T22:27:32.283945
DCTN1_ibm_fez_r01,DCTN1,Binah,ibm_fez,reference_backend,1,8192,structural_outlier,0.655,16,97;4;3;2;1;16;23;88;5;6;42;90;30;22;21;52;18;36;96;126;50;8;9;58;48;112;54;148;38;152;106;144;130;92;74;75;84;64;137;132;110;10;134;136;154;14;98;46;70;120;124;142;79;95;59;114;115;143;138;80;44;150,0.6153640163426529,0.6153640163426529,-0.03963598365734711,d78o4hgeecps73d7dkk0,2026-04-04T22:27:33.329732
DCTN1_ibm_fez_r02,DCTN1,Binah,ibm_fez,reference_backend,2,8192,structural_outlier,0.655,16,97;4;3;2;1;16;23;88;5;6;42;90;30;22;21;52;18;36;96;126;50;8;9;58;48;112;54;148;38;152;106;144;130;92;74;75;84;64;137;132;110;10;134;136;154;14;98;46;70;120;124;142;79;95;59;114;115;143;138;80;44;150,0.6156660349101599,0.6156660349101599,-0.039333965089840106,d78o4hoeecps73d7dkkg,2026-04-04T22:27:34.335626
DCTN1_ibm_fez_r03,DCTN1,Binah,ibm_fez,reference_backend,3,8192,structural_outlier,0.655,16,97;4;3;2;1;16;23;88;5;6;42;90;30;22;21;52;18;36;96;126;50;8;9;58;48;112;54;148;38;152;106;144;130;92;74;75;84;64;137;132;110;10;134;136;154;14;98;46;70;120;124;142;79;95;59;114;115;143;138;80;44;150,0.616368372890229,0.616368372890229,-0.03863162710977097,d78o4i2k86tc739vgn4g,2026-04-04T22:27:35.368887
DCTN1_ibm_kingston_r01,DCTN1,Binah,ibm_kingston,comparison_backend,1,8192,structural_outlier,0.655,16,71;4;3;2;1;16;23;46;5;6;68;137;77;22;21;126;67;138;37;53;10;105;117;60;133;151;106;86;20;9;38;132;44;93;129;128;144;90;134;17;15;139;42;142;97;64;59;28;48;8;88;140;29;154;121;148;149;136;61;108;118;57,0.6123337658747259,0.6123337658747259,-0.04266623412527415,d78o4i9q1efs73d1vspg,2026-04-04T22:27:36.287606
DCTN1_ibm_kingston_r02,DCTN1,Binah,ibm_kingston,comparison_backend,2,8192,structural_outlier,0.655,16,71;4;3;2;1;16;23;46;5;6;68;137;77;22;21;126;67;138;37;53;10;105;117;60;133;151;106;86;20;9;38;132;44;93;129;128;144;90;134;17;15;139;42;142;97;64;59;28;48;8;88;140;29;154;121;148;149;136;61;108;118;57,0.613365335156389,0.613365335156389,-0.041634664843611,d78o4igeecps73d7dkm0,2026-04-04T22:27:37.317329
DCTN1_ibm_kingston_r03,DCTN1,Binah,ibm_kingston,comparison_backend,3,8192,structural_outlier,0.655,16,71;4;3;2;1;16;23;46;5;6;68;137;77;22;21;126;67;138;37;53;10;105;117;60;133;151;106;86;20;9;38;132;44;93;129;128;144;90;134;17;15;139;42;142;97;64;59;28;48;8;88;140;29;154;121;148;149;136;61;108;118;57,0.6133143600900509,0.6133143600900509,-0.04168563990994911,d78o4ioeecps73d7dkn0,2026-04-04T22:27:38.249211
TP53_ibm_fez_r01,TP53,Gevurah,ibm_fez,reference_backend,1,8192,high_entropy,0.901,16,97;4;3;2;1;16;23;88;5;6;42;90;30;22;21;52;18;36;96;126;50;8;9;58;48;112;54;148;38;152;106;144;130;92;74;75;84;64;137;132;110;10;134;136;154;14;98;46;70;120;124;142;79;95;59;114;115;143;138;80;44;150,0.614727460906422,0.614727460906422,-0.28627253909357797,d78o4j3c6das739i406g,2026-04-04T22:27:39.364589
TP53_ibm_fez_r02,TP53,Gevurah,ibm_fez,reference_backend,2,8192,high_entropy,0.901,16,97;4;3;2;1;16;23;88;5;6;42;90;30;22;21;52;18;36;96;126;50;8;9;58;48;112;54;148;38;152;106;144;130;92;74;75;84;64;137;132;110;10;134;136;154;14;98;46;70;120;124;142;79;95;59;114;115;143;138;80;44;150,0.615920268666356,0.615920268666356,-0.28507973133364406,d78o4j9q1efs73d1vss0,2026-04-04T22:27:40.388414
TP53_ibm_fez_r03,TP53,Gevurah,ibm_fez,reference_backend,3,8192,high_entropy,0.901,16,97;4;3;2;1;16;23;88;5;6;42;90;30;22;21;52;18;36;96;126;50;8;9;58;48;112;54;148;38;152;106;144;130;92;74;75;84;64;137;132;110;10;134;136;154;14;98;46;70;120;124;142;79;95;59;114;115;143;138;80;44;150,0.6159347948757407,0.6159347948757407,-0.28506520512425937,d78o4jik86tc739vgn7g,2026-04-04T22:27:41.425187
TP53_ibm_kingston_r01,TP53,Gevurah,ibm_kingston,comparison_backend,1,8192,high_entropy,0.901,16,71;4;3;2;1;16;23;46;5;6;68;137;77;22;21;126;67;138;37;53;10;105;117;60;133;151;106;86;20;9;38;132;44;93;129;128;144;90;134;17;15;139;42;142;97;64;59;28;48;8;88;140;29;154;121;148;149;136;61;108;118;57,0.6133590854867028,0.6133590854867028,-0.2876409145132972,d78o4jpq1efs73d1vst0,2026-04-04T22:27:42.320772
TP53_ibm_kingston_r02,TP53,Gevurah,ibm_kingston,comparison_backend,2,8192,high_entropy,0.901,16,71;4;3;2;1;16;23;46;5;6;68;137;77;22;21;126;67;138;37;53;10;105;117;60;133;151;106;86;20;9;38;132;44;93;129;128;144;90;134;17;15;139;42;142;97;64;59;28;48;8;88;140;29;154;121;148;149;136;61;108;118;57,0.6131889284383053,0.6131889284383053,-0.2878110715616947,d78o4k2k86tc739vgn90,2026-04-04T22:27:43.224369
TP53_ibm_kingston_r03,TP53,Gevurah,ibm_kingston,comparison_backend,3,8192,high_entropy,0.901,16,71;4;3;2;1;16;23;46;5;6;68;137;77;22;21;126;67;138;37;53;10;105;117;60;133;151;106;86;20;9;38;132;44;93;129;128;144;90;134;17;15;139;42;142;97;64;59;28;48;8;88;140;29;154;121;148;149;136;61;108;118;57,0.6120949787215275,0.6120949787215275,-0.2889050212784725,d78o4k2k86tc739vgna0,2026-04-04T22:27:44.147553
OXT_ibm_fez_r01,OXT,Chesed,ibm_fez,reference_backend,1,8192,top_phi_aligned,0.786,16,97;4;3;2;1;16;23;88;5;6;42;90;30;22;21;52;18;36;96;126;50;8;9;58;48;112;54;148;38;152;106;144;130;92;74;75;84;64;137;132;110;10;134;136;154;14;98;46;70;120;124;142;79;95;59;114;115;143;138;80;44;150,0.6162225647862716,0.6162225647862716,-0.16977743521372846,d78o4kjc6das739i4090,2026-04-04T22:27:45.263557
OXT_ibm_fez_r02,OXT,Chesed,ibm_fez,reference_backend,2,8192,top_phi_aligned,0.786,16,97;4;3;2;1;16;23;88;5;6;42;90;30;22;21;52;18;36;96;126;50;8;9;58;48;112;54;148;38;152;106;144;130;92;74;75;84;64;137;132;110;10;134;136;154;14;98;46;70;120;124;142;79;95;59;114;115;143;138;80;44;150,0.6153261376349005,0.6153261376349005,-0.17067386236509952,d78o4krc6das739i40a0,2026-04-04T22:27:46.276085
OXT_ibm_fez_r03,OXT,Chesed,ibm_fez,reference_backend,3,8192,top_phi_aligned,0.786,16,97;4;3;2;1;16;23;88;5;6;42;90;30;22;21;52;18;36;96;126;50;8;9;58;48;112;54;148;38;152;106;144;130;92;74;75;84;64;137;132;110;10;134;136;154;14;98;46;70;120;124;142;79;95;59;114;115;143;138;80;44;150,0.6157032333704343,0.6157032333704343,-0.17029676662956572,d78o4l0eecps73d7dkqg,2026-04-04T22:27:47.303607
OXT_ibm_kingston_r01,OXT,Chesed,ibm_kingston,comparison_backend,1,8192,top_phi_aligned,0.786,16,71;4;3;2;1;16;23;46;5;6;68;137;77;22;21;126;67;138;37;53;10;105;117;60;133;151;106;86;20;9;38;132;44;93;129;128;144;90;134;17;15;139;42;142;97;64;59;28;48;8;88;140;29;154;121;148;149;136;61;108;118;57,0.6133336920245039,0.6133336920245039,-0.1726663079754961,d78o4l9q1efs73d1vsvg,2026-04-04T22:27:48.184479
OXT_ibm_kingston_r02,OXT,Chesed,ibm_kingston,comparison_backend,2,8192,top_phi_aligned,0.786,16,71;4;3;2;1;16;23;46;5;6;68;137;77;22;21;126;67;138;37;53;10;105;117;60;133;151;106;86;20;9;38;132;44;93;129;128;144;90;134;17;15;139;42;142;97;64;59;28;48;8;88;140;29;154;121;148;149;136;61;108;118;57,0.6133967108241288,0.6133967108241288,-0.1726032891758712,d78o4l9q1efs73d1vt0g,2026-04-04T22:27:49.101232
OXT_ibm_kingston_r03,OXT,Chesed,ibm_kingston,comparison_backend,3,8192,top_phi_aligned,0.786,16,71;4;3;2;1;16;23;46;5;6;68;137;77;22;21;126;67;138;37;53;10;105;117;60;133;151;106;86;20;9;38;132;44;93;129;128;144;90;134;17;15;139;42;142;97;64;59;28;48;8;88;140;29;154;121;148;149;136;61;108;118;57,0.6121919492708241,0.6121919492708241,-0.17380805072917593,d78o4lgeecps73d7dks0,2026-04-04T22:27:49.992863
